Job Title,Company,Location,Summary,Posting_Date,Salary,Rating,Extract_Date,Job_Url
".css-jspxzf{box-sizing:border-box;margin:0;min-width:0;-webkit-text-decoration:none;text-decoration:none;color:inherit!important;position:static;}.css-jspxzf:active,.css-jspxzf:visited,.css-jspxzf:hover,.css-jspxzf:focus{-webkit-text-decoration:none;text-decoration:none;color:inherit;}.css-jspxzf:focus-visible{outline:none;}.css-jspxzf::after{content:"""";position:absolute;left:0;top:0;right:0;bottom:0;}Sr. Data Analyst",momspresso,"Gurgaon, Haryana","They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using…",EmployerActive 14 days ago,"₹10,00,000 - ₹20,00,000 a year",,05-07-22,https://www.indeed.com/company/Momspresso/jobs/Senior-Data-Analyst-46d0b405d35ec012?fccid=d9ee9addab5d4b47&vjs=3
Data Analyst,Otipy,"Gurgaon, Haryana","Create processes and methods to gather data.
Analyze data to identify issues and suggest improvements.
Identify cost-effective delivery modes and schedules.",Posted12 days ago,,,05-07-22,https://www.indeed.com/rc/clk?jk=d21d89ab5ea594c5&fccid=231f97b87bd1ffbb&vjs=3
Data Analyst,Surgical Notes RCM LLC,"Noida, Uttar Pradesh","Leverage data from Salesforce and other reporting platforms to analyze data and convert information into insight.
Speaking and listening on a telephone.",Posted3 days ago,,,05-07-22,https://www.indeed.com/rc/clk?jk=0b0868866e6ca52b&fccid=42a1a3f0a8b554b7&vjs=3
Business Analyst,Gigmos Solutions Pvt Ltd,"Delhi, Delhi","Responsible for deliverables such as functional specifications, use cases, user stories, workflow/process diagrams, data flow/data model diagrams.",EmployerActive 4 days ago,"₹6,00,000 - ₹18,00,000 a year",,05-07-22,https://www.indeed.com/company/Gigmo-Solutions-Pvt-Ltd./jobs/Business-Analyst-da7456252ac7a5cc?fccid=3bc22e3422bc09b7&vjs=3
Business Analyst,MakeMyTrip.com,"Gurgaon, Haryana","3 to 6 years of relevant experience in a business analyst/data analyst/statistical analysis role.
Fulfilment teams to understand, organize and present data.",EmployerActive 6 days ago,"₹10,00,000 - ₹13,00,000 a year",4.0,05-07-22,https://www.indeed.com/company/MakeMyTrip.com/jobs/Business-Analyst-706811b55e73c2ac?fccid=a1032ac404ecbf0b&vjs=3
Data Analyst,STPG Constructions Pty Ltd,"Bengaluru, Karnataka","Experience within real estate or marketing data.
Creating SQL scripts for data validation and deployment.
Minimum 3 years of experience in a data or statistical…",EmployerActive 7 days ago,"₹60,000 - ₹1,00,000 a month",,05-07-22,https://www.indeed.com/company/STPG-Constructions-Pty-Ltd/jobs/Data-Analyst-2fd5fcf809bc146d?fccid=d2c0fa78c448d611&vjs=3
Business Analyst/Data Analyst,Compunnel Inc.,"Noida, Uttar Pradesh","Extensive experience with data visualization.
Excellent communicator with the ability to translate data into actionable insights.",Posted30+ days ago,"₹18,00,000 a year",3.7,05-07-22,https://www.indeed.com/company/Compunnel-Inc./jobs/Business-Analyst-Data-Analyst-57c20dc2733e108b?fccid=a290744589afaf5a&vjs=3
Data Research Analyst,Paxcom India,"Delhi, Delhi","Capturing the researched data on Excel sheet in required format.
PaymentUs leads the North American marketplace in electronic bill payment solutions and have…",Posted4 days ago,,,05-07-22,https://www.indeed.com/rc/clk?jk=c4e65cf8ce60525e&fccid=0963aa5c8f6d9b08&vjs=3
Data Analyst,Onsite,"Delhi, Delhi","Bachelor in Engineering with at least 2+ years of hands-on experience as a data analyst.
Develop metrics and reports that can be used to drive data-driven…",EmployerActive 15 days ago,"₹4,00,000 - ₹7,00,000 a year",,05-07-22,https://www.indeed.com/company/Onsite/jobs/Data-Analyst-9f6e79344ba014e8?fccid=484cc6ef77d851f7&vjs=3
Data Analyst,Zotto Ltd,"Bengaluru, Karnataka","Developing and maintaining databases, data systems – reorganizing data in a readable format.
Technical proficiency regarding database design development, data…",Posted4 days ago,"₹30,000 - ₹40,000 a month",,05-07-22,https://www.indeed.com/company/Zotto-Ltd/jobs/Data-Analyst-8f2109da2a8cc5a7?fccid=1cdd2ca288471efb&vjs=3
Data Analyst,Travitons Technologies Pvt Ltd,"Pune, Maharashtra","Performing and documenting data analysis, data validation, and data mapping/design.
Creating tools to store data within the organization.",Posted4 days ago,"₹50,000 - ₹1,50,000 a month",,05-07-22,https://www.indeed.com/company/Travitons-Technologies-Pvt-Ltd/jobs/Data-Analyst-0cc2ebdbcc58360e?fccid=8a48d18f38d019fa&vjs=3
